 #---------------------------------------------------------------------------
 #   gamma p --> pi0 p                     Oct2014
 #
 #        Q - polar angle of pi0 meson in CMS
 #        err2 = sqrt(stat**2 + (0.04*ds/dOmega)**2)
 #---------------------------------------------------------------------------
 # Eg[MeV]  Eg_min   Eg_max   W[GeV]  cos(Q)    Q    ds/dOmega  stat.  err2
 #                                            [deg]   [µb/sr]   err.   
 #--------------------------------------------------------------------------
  1479.64  1476.41  1482.88  1.91232   0.367   68.49  0.4042  0.0051  0.0072
  1479.64  1476.41  1482.88  1.91232   0.433   64.32  0.3566  0.0049  0.0066
  1479.64  1476.41  1482.88  1.91232   0.500   60.00  0.4032  0.0056  0.0075
  1479.64  1476.41  1482.88  1.91232   0.567   55.48  0.4872  0.0062  0.0087
  1479.64  1476.41  1482.88  1.91232   0.633   50.70  0.6890  0.0088  0.0123
  1479.64  1476.41  1482.88  1.91232   0.700   45.57  1.0876  0.0133  0.0190
  1479.64  1476.41  1482.88  1.91232   0.767   39.94  1.5393  0.0217  0.0290
  1479.64  1476.41  1482.88  1.91232   0.833   33.56  1.9502  0.0567  0.0617
  1486.10  1482.88  1489.32  1.91549  -0.833  146.44  1.2286  0.0473  0.0497
  1486.10  1482.88  1489.32  1.91549  -0.767  140.06  1.1273  0.0268  0.0303
  1486.10  1482.88  1489.32  1.91549  -0.700  134.43  0.8589  0.0144  0.0180
  1486.10  1482.88  1489.32  1.91549  -0.633  129.30  0.7127  0.0096  0.0131
  1486.10  1482.88  1489.32  1.91549  -0.567  124.52  0.6071  0.0075  0.0107
  1486.10  1482.88  1489.32  1.91549  -0.500  120.00  0.5851  0.0068  0.0100
  1486.10  1482.88  1489.32  1.91549  -0.433  115.68  0.5767  0.0063  0.0096
  1486.10  1482.88  1489.32  1.91549  -0.367  111.51  0.6319  0.0063  0.0101
  1486.10  1482.88  1489.32  1.91549  -0.300  107.46  0.7036  0.0066  0.0110
  1486.10  1482.88  1489.32  1.91549  -0.233  103.49  0.7742  0.0069  0.0119
  1486.10  1482.88  1489.32  1.91549  -0.167   99.59  0.8698  0.0073  0.0131
  1486.10  1482.88  1489.32  1.91549  -0.100   95.74  0.9378  0.0078  0.0141
  1486.10  1482.88  1489.32  1.91549  -0.033   91.91  0.9714  0.0083  0.0147
  1486.10  1482.88  1489.32  1.91549   0.033   88.09  0.9398  0.0082  0.0143
  1486.10  1482.88  1489.32  1.91549   0.100   84.26  0.8739  0.0078  0.0134
  1486.10  1482.88  1489.32  1.91549   0.167   80.41  0.7897  0.0073  0.0123
  1486.10  1482.88  1489.32  1.91549   0.233   76.51  0.6635  0.0066  0.0106
  1486.10  1482.88  1489.32  1.91549   0.300   72.54  0.5144  0.0059  0.0087
  1486.10  1482.88  1489.32  1.91549   0.367   68.49  0.4003  0.0052  0.0072
  1486.10  1482.88  1489.32  1.91549   0.433   64.32  0.3634  0.0052  0.0069
  1486.10  1482.88  1489.32  1.91549   0.500   60.00  0.3931  0.0055  0.0074
  1486.10  1482.88  1489.32  1.91549   0.567   55.48  0.4769  0.0063  0.0087
  1486.10  1482.88  1489.32  1.91549   0.633   50.70  0.6719  0.0090  0.0123
  1486.10  1482.88  1489.32  1.91549   0.700   45.57  1.0771  0.0138  0.0193
  1486.10  1482.88  1489.32  1.91549   0.767   39.94  1.5765  0.0239  0.0310
  1486.10  1482.88  1489.32  1.91549   0.833   33.56  1.9743  0.0626  0.0673
  1492.55  1489.32  1495.77  1.91864  -0.833  146.44  1.1745  0.0490  0.0512
  1492.55  1489.32  1495.77  1.91864  -0.767  140.06  1.1242  0.0275  0.0309
  1492.55  1489.32  1495.77  1.91864  -0.700  134.43  0.8811  0.0150  0.0186
  1492.55  1489.32  1495.77  1.91864  -0.633  129.30  0.7062  0.0098  0.0132
  1492.55  1489.32  1495.77  1.91864  -0.567  124.52  0.6072  0.0078  0.0109
  1492.55  1489.32  1495.77  1.91864  -0.500  120.00  0.5691  0.0070  0.0100
  1492.55  1489.32  1495.77  1.91864  -0.433  115.68  0.5804  0.0067  0.0099
  1492.55  1489.32  1495.77  1.91864  -0.367  111.51  0.6335  0.0067  0.0104
  1492.55  1489.32  1495.77  1.91864  -0.300  107.46  0.6909  0.0070  0.0111
  1492.55  1489.32  1495.77  1.91864  -0.233  103.49  0.7777  0.0074  0.0122
  1492.55  1489.32  1495.77  1.91864  -0.167   99.59  0.8696  0.0078  0.0134
  1492.55  1489.32  1495.77  1.91864  -0.100   95.74  0.9267  0.0084  0.0143
  1492.55  1489.32  1495.77  1.91864  -0.033   91.91  0.9598  0.0087  0.0148
  1492.55  1489.32  1495.77  1.91864   0.033   88.09  0.9438  0.0088  0.0147
  1492.55  1489.32  1495.77  1.91864   0.100   84.26  0.8618  0.0083  0.0136
  1492.55  1489.32  1495.77  1.91864   0.167   80.41  0.7777  0.0079  0.0125
  1492.55  1489.32  1495.77  1.91864   0.233   76.51  0.6634  0.0071  0.0109
  1492.55  1489.32  1495.77  1.91864   0.300   72.54  0.5160  0.0061  0.0089
  1492.55  1489.32  1495.77  1.91864   0.367   68.49  0.3940  0.0054  0.0073
  1492.55  1489.32  1495.77  1.91864   0.433   64.32  0.3461  0.0052  0.0068
  1492.55  1489.32  1495.77  1.91864   0.500   60.00  0.3733  0.0056  0.0073
  1492.55  1489.32  1495.77  1.91864   0.567   55.48  0.4762  0.0068  0.0090
  1492.55  1489.32  1495.77  1.91864   0.633   50.70  0.6638  0.0095  0.0126
  1492.55  1489.32  1495.77  1.91864   0.700   45.57  1.0616  0.0150  0.0200
  1492.55  1489.32  1495.77  1.91864   0.767   39.94  1.5221  0.0255  0.0318
  1492.55  1489.32  1495.77  1.91864   0.833   33.56  1.9927  0.0715  0.0757
