 #---------------------------------------------------------------------------
 #   gamma p --> pi0 p                     Apr2013
 #
 #        Q - polar angle of pi0 meson in CMS
 #        err2 = sqrt(stat**2 + (0.02*ds/dOmega)**2)
 #---------------------------------------------------------------------------
 # Eg[MeV]  Eg_min   Eg_max   W[GeV]  cos(Q)    Q    ds/dOmega  stat.  err2
 #                                            [deg]   [µb/sr]   err.
 #--------------------------------------------------------------------------
   252.87   250.71   255.03  1.16399   0.567   55.48  8.0808  0.0299  0.1644
   252.87   250.71   255.03  1.16399   0.633   50.70  7.5317  0.0297  0.1535
   252.87   250.71   255.03  1.16399   0.700   45.57  7.0136  0.0299  0.1434
   252.87   250.71   255.03  1.16399   0.767   39.94  6.3676  0.0303  0.1309
   252.87   250.71   255.03  1.16399   0.833   33.56  5.7041  0.0316  0.1184
   252.87   250.71   255.03  1.16399   0.900   25.84  4.9815  0.0344  0.1054
   252.87   250.71   255.03  1.16399   0.967   14.84  4.1904  0.0428  0.0941
   257.19   255.03   259.35  1.16747  -0.967  165.16  6.3786  0.0338  0.1320
   257.19   255.03   259.35  1.16747  -0.900  154.16  7.1636  0.0341  0.1473
   257.19   255.03   259.35  1.16747  -0.833  146.44  7.8739  0.0345  0.1612
   257.19   255.03   259.35  1.16747  -0.767  140.06  8.4636  0.0351  0.1729
   257.19   255.03   259.35  1.16747  -0.700  134.43  8.9646  0.0355  0.1828
   257.19   255.03   259.35  1.16747  -0.633  129.30  9.4769  0.0363  0.1930
   257.19   255.03   259.35  1.16747  -0.567  124.52  9.9068  0.0367  0.2015
   257.19   255.03   259.35  1.16747  -0.500  120.00 10.2391  0.0370  0.2081
   257.19   255.03   259.35  1.16747  -0.433  115.68 10.6290  0.0375  0.2159
   257.19   255.03   259.35  1.16747  -0.367  111.51 10.9054  0.0378  0.2214
   257.19   255.03   259.35  1.16747  -0.300  107.46 11.1489  0.0378  0.2262
   257.19   255.03   259.35  1.16747  -0.233  103.49 11.3214  0.0379  0.2296
   257.19   255.03   259.35  1.16747  -0.167   99.59 11.4293  0.0377  0.2317
   257.19   255.03   259.35  1.16747  -0.100   95.74 11.4797  0.0376  0.2327
   257.19   255.03   259.35  1.16747  -0.033   91.91 11.5229  0.0375  0.2335
   257.19   255.03   259.35  1.16747   0.033   88.09 11.3533  0.0369  0.2300
   257.19   255.03   259.35  1.16747   0.100   84.26 11.1970  0.0364  0.2269
   257.19   255.03   259.35  1.16747   0.167   80.41 11.1290  0.0362  0.2255
   257.19   255.03   259.35  1.16747   0.233   76.51 10.9560  0.0358  0.2220
   257.19   255.03   259.35  1.16747   0.300   72.54 10.6945  0.0354  0.2168
   257.19   255.03   259.35  1.16747   0.367   68.49 10.3866  0.0350  0.2107
   257.19   255.03   259.35  1.16747   0.433   64.32 10.0592  0.0346  0.2041
   257.19   255.03   259.35  1.16747   0.500   60.00  9.5730  0.0340  0.1945
   257.19   255.03   259.35  1.16747   0.567   55.48  9.0470  0.0336  0.1840
   257.19   255.03   259.35  1.16747   0.633   50.70  8.4616  0.0334  0.1725
   257.19   255.03   259.35  1.16747   0.700   45.57  7.8417  0.0334  0.1604
   257.19   255.03   259.35  1.16747   0.767   39.94  7.1797  0.0340  0.1476
   257.19   255.03   259.35  1.16747   0.833   33.56  6.3971  0.0354  0.1327
   257.19   255.03   259.35  1.16747   0.900   25.84  5.5628  0.0387  0.1178
   257.19   255.03   259.35  1.16747   0.967   14.84  4.6641  0.0483  0.1050
