E =  218.370 MeV, E_lo =  216.220 MeV, E_hi =  220.520 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
 55.480    22.507600     0.065500     0.450160
 50.700    21.252800     0.064400     0.425049
 45.570    19.581200     0.062800     0.391596
 39.940    17.703600     0.062200     0.354078
 33.560    15.691300     0.063100     0.313819
 25.840    13.602500     0.067000     0.272072
 14.840    10.905500     0.081400     0.218105
-----------------------------------------------------------
E =  304.910 MeV, E_lo =  302.740 MeV, E_hi =  307.090 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
165.160    11.648500     0.053700     0.232992
154.160    13.928800     0.056400     0.278547
146.440    16.067300     0.059300     0.321375
